0,195
0,196
0,221
0,324
0,348
0,349
0,452
0,454
0,460
0,461
0,475
0,476
0,481
0,482
1,69
1,70
1,76
1,77
1,78
1,90
1,91
1,92
1,97
1,98
1,101
1,102
1,192
1,206
1,207
1,209
1,219
1,220
1,225
1,226
1,229
1,230
1,320
1,321
1,322
1,334
1,337
1,348
1,349
1,451
1,462
1,463
1,465
1,477
2,66
2,67
2,76
2,77
2,78
2,89
2,204
2,205
2,215
2,217
2,344
2,345
2,453
3,69
3,196
3,198
3,231
3,323
3,324
3,326
3,327
3,357
3,358
3,359
3,415
3,437
3,438
3,450
3,456
3,484
4,31
4,33
4,53
4,69
4,82
4,100
4,101
4,160
4,162
4,170
4,179
4,181
4,194
4,195
4,199
4,200
4,210
4,211
4,223
4,225
4,275
4,276
4,288
4,291
4,298
4,299
4,307
4,308
4,337
4,339
4,351
4,352
4,403
4,404
4,416
4,418
4,421
4,422
4,427
4,428
4,441
4,480
5,31
5,33
5,37
5,38
5,43
5,44
5,45
5,55
5,56
5,57
5,67
5,68
5,69
5,70
5,159
5,165
5,166
5,171
5,172
5,182
5,195
5,198
5,199
5,298
5,299
5,310
5,311
5,324
5,326
5,327
5,426
5,510
6,69
6,70
6,89
6,95
6,96
6,100
6,101
6,126
6,127
6,198
6,215
6,216
6,224
6,225
6,226
6,227
6,228
6,344
6,345
6,352
6,353
6,355
6,356
6,402
6,419
6,421
6,480
6,481
6,483
6,484
7,18
7,19
7,20
7,36
7,37
7,49
7,50
7,52
7,54
7,55
7,64
7,65
7,67
7,69
7,70
7,97
7,98
7,99
7,123
7,124
7,125
7,149
7,164
7,177
7,183
7,192
7,198
7,204
7,276
7,277
7,306
7,310
7,321
7,325
7,333
7,379
7,381
7,435
7,436
7,437
7,450
7,451
7,452
7,459
7,460
7,461
7,506
7,507
7,508
7,509
7,510
8,95
8,96
8,121
8,122
8,126
8,127
8,155
8,224
8,249
8,250
8,254
8,255
8,284
8,285
8,349
8,350
8,351
8,411
8,412
8,477
9,23
9,123
9,124
9,150
9,151
9,152
9,250
9,251
9,253
9,254
9,277
9,278
9,279
9,280
9,281
9,306
9,339
9,340
9,379
9,382
9,404
9,406
9,408
9,410
9,433
9,451
9,452
9,458
9,467
9,507
10,20
10,21
10,25
10,26
10,49
10,50
10,51
10,67
10,68
10,72
10,73
10,84
10,85
10,86
10,126
10,162
10,164
10,201
10,202
10,214
10,221
10,222
10,241
10,242
10,252
10,253
